surface,draw_size,tourney_date,outcome,opponent_1serve,serv points,1serve points,opp_return_perc,o_ret_points,winner_seed,winner_name,winner_hand,loser_seed,loser_entry,loser_name,loser_hand,score,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
Hard,56,20150816,L,67.94871795,78,53,34.61538462,27,13,David Goffin,R,,,Fernando Verdasco,L,6-4 7-6(4),3,,0,1,78,53,42,12,11,6,7,6,6,74,42,27,20,11,2,4,14,2090,43,995
Hard,128,20150831,W,63.28125,128,81,27.34375,35,,Fernando Verdasco,L,,,Tommy Haas,R,3-6 6-1 6-7(3) 6-3 6-1,5,,21,7,122,71,57,30,22,4,7,1,9,128,81,51,25,22,5,13,42,1020,506,73
Hard,128,20150831,L,61.41732283,127,78,32.28346457,41,10,Milos Raonic,R,,,Fernando Verdasco,L,6-2 6-4 6-7(5) 7-6(1),5,,16,7,127,78,63,33,21,4,4,15,5,127,85,62,24,21,4,7,10,2880,42,1020
Hard,28,20150921,W,61.26126126,111,68,23.42342342,26,8,Fernando Verdasco,L,,,Alexander Zverev,R,6-7(2) 6-3 6-3,3,,13,1,95,59,51,18,15,7,7,7,8,111,68,46,21,15,7,10,43,1020,79,652
Hard,28,20150921,L,62.33766234,77,48,31.16883117,24,,Gilles Muller,L,8,WC,Fernando Verdasco,L,7-6(3) 7-6(2),3,,17,4,77,48,43,15,12,1,2,14,1,76,45,37,15,12,2,3,45,1005,43,1020
Hard,32,20151005,L,59.42028986,69,41,30.43478261,21,,Marcos Baghdatis,R,,,Fernando Verdasco,L,7-5 6-1,3,,6,1,69,41,30,15,10,4,5,4,0,46,27,15,10,9,1,5,49,907,41,1020
Hard,56,20151011,L,77.04918033,61,47,31.14754098,19,,Bernard Tomic,R,,,Fernando Verdasco,L,6-3 7-6(3),3,,5,1,61,47,38,11,11,0,0,11,2,63,38,31,13,10,3,4,20,1585,42,1040
Hard,28,20151019,W,68.18181818,66,45,12.12121212,8,,Fernando Verdasco,L,,,Denis Kudla,R,6-4 6-4,3,,1,1,46,35,29,9,10,0,1,5,3,66,45,29,8,10,0,3,44,1005,68,746
Hard,28,20151019,L,58.87850467,107,63,33.64485981,36,7,Jack Sock,R,,,Fernando Verdasco,L,7-6(5) 6-7(5) 6-4,3,,10,3,107,63,54,23,17,2,4,9,2,114,76,56,22,17,4,7,32,1210,44,1005
Hard,28,20151026,L,44.70588235,85,38,47.05882353,40,6,Guillermo Garcia Lopez,R,,,Fernando Verdasco,L,6-4 3-6 6-3,3,,3,4,85,38,30,24,14,6,9,6,8,102,57,40,22,14,11,15,26,1430,45,980
Hard,48,20151102,L,57.69230769,52,30,50,26,,Borna Coric,R,,,Fernando Verdasco,L,6-4 6-4,3,,6,2,52,30,29,10,10,3,4,6,1,63,37,23,14,10,1,4,46,916,47,910
Hard,32,20160104,W,58.7628866,97,57,24.74226804,24,,Fernando Verdasco,L,,WC,Malek Jaziri,R,7-6(4) 7-6(4),3,116,12,0,77,56,42,11,12,3,5,4,5,97,57,41,17,12,9,11,49,900,103,566
Hard,32,20160104,L,66.66666667,51,34,52.94117647,27,1,Novak Djokovic,R,,,Fernando Verdasco,L,6-2 6-2,3,69,2,2,51,34,26,11,8,2,2,4,2,52,33,19,6,8,4,8,1,16585,49,900
Hard,128,20160118,W,63.52941176,170,108,43.52941176,74,,Fernando Verdasco,L,5,,Rafael Nadal,L,7-6 4-6 3-6 7-6 6-2,5,281,20,10,192,118,85,33,27,10,16,7,6,170,108,75,31,26,10,15,45,900,5,5230
Hard,128,20160118,L,54.26356589,129,70,40.31007752,52,,Dudi Sela,R,,,Fernando Verdasco,L,4-6 6-3 6-3 7-6,5,169,5,2,129,70,41,37,21,6,12,9,7,118,83,48,18,20,7,15,87,633,45,900
Clay,32,20160201,L,48.91304348,92,45,36.95652174,34,,Renzo Olivo,R,4,,Fernando Verdasco,L,7-6(5) 3-6 6-3,3,117,15,7,92,45,37,24,15,6,10,6,9,89,53,39,16,15,5,9,158,366,47,855
Hard,128,20160307,W,65.43209877,81,53,24.69135802,20,,Fernando Verdasco,L,,Q,Peter Polansky,R,7-6(4) 6-3,3,91,4,3,74,47,41,13,11,5,5,1,1,81,53,33,18,10,8,9,65,750,542,62
Hard,128,20160307,W,44.44444444,27,12,7.407407407,2,,Fernando Verdasco,L,25,,Martin Klizan,L,5-3 RET,3,37,2,1,18,14,13,3,4,0,0,1,7,27,12,9,6,4,2,3,65,750,28,1420
Hard,128,20160307,L,68.18181818,66,45,56.06060606,37,4,Rafael Nadal,L,,,Fernando Verdasco,L,6-0 7-6(9),3,101,2,5,66,45,32,10,9,2,4,6,8,71,41,26,8,9,3,8,5,4810,65,750
Hard,128,20160321,W,53.73134328,67,36,25.37313433,17,,Fernando Verdasco,L,,,Gilles Muller,L,7-6(2) 6-3,3,89,6,5,71,44,34,20,10,5,5,11,2,67,36,25,19,11,1,3,65,750,44,985
